Name,Color,Parent,Start,Stop,Description,Namechange1,When1,Description1,Namechange2,When2,Description2,Namechange3,When3,Description3
Debian,#bf1238,,1993.8.16,,http://www.debian.org,,,,,,,,,
Libranet,#0169c9,Debian,1999.11.9,2005.4.25,http://en.wikipedia.org/wiki/Libranet,,,,,,,,,
Corel,#ecba5b,Debian,1999.9,2008.8.2,http://en.wikipedia.org/wiki/Corel_Linux,Xandros,2001.8.29,http://www.xandros.com/,,,,,,
Storm,#2a2a98,Debian,1999.12,2001.4,http://www.stormlinux.com/,,,,,,,,,
Omoikane (Arma),#bfd0d6,Debian,2000.2,,http://www.omoikane.co.jp/,,,,,,,,,
Knoppix,#c7bff0,Debian,2000.9.30,,http://www.knoppix.net/,,,,,,,,,
Kurumin,#42328e,Knoppix,2003.2.18,2009.1.29,http://www.gdhpress.com.br/kurumin/,,,,,,,,,
Dizinha,#88bff7,Kurumin,2004.1.4,2008,http://dizinha.codigolivre.org.br/,,,,,,,,,
NeoDizinha,#b6dbf6,Dizinha,2006.5,,http://neodizinha.web44.net/,Patinho Faminto,2006.8,http://neodizinha.web44.net/,,,,,,
Kalango,#a0a067,Kurumin,2004.2.1,2006.11.7,http://pt.wikipedia.org/wiki/Kalango_Linux,,,,,,,,,
Poseidon,#42328e,Kurumin,2005.3.10,,http://www.poseidonlinux.org/,,,,,,,,,
Quantian,#3366dd,Knoppix,2003.3.6,2006.3.1,http://dirk.eddelbuettel.com/quantian.html,,,,,,,,,
Damn Small Linux,#cb9340,Knoppix,2003.6,,http://www.damnsmalllinux.org/,,,,,,,,,
Hikarunix,#e48535,Damn Small Linux,2004.9.17,2005.9.21,http://www.assembla.com/wiki/show/Hikarunix,,,,,,,,,
DSL-N,#000,Damn Small Linux,2006.5.8,2006.8.24,http://www.damnsmalllinux.org/dsl-n/,,,,,,,,,
Damn Vulnerable Linux,#ef0101,Damn Small Linux,2006.11,2010.12,http://www.damnvulnerablelinux.org/,,,,,,,,,
Morphix,#8b8b8b,Knoppix,2003.3.19,2010.3.29,http://www.morphix.org/,,,,,,,,,
Hiwix,#376e08,Morphix,2004.2.28,,http://www.linuxsir.org/bbs/showthread.php?t=92689,Hiweed,2004.3.3,http://zh.wikipedia.org/zh-tw/Linux_Deepin,Deepin,2009.12,http://linux.deepin.org/,,,
Aquamorph,#38587c,Morphix,2004.5,,http://aquariusoft.org/page/linux/aquamorph/,,,,,,,,,
ZoneCD,#020202,Morphix,2004.6,2005.11.16,http://www.publicip.net/,,,,,,,,,
Dreamlinux,#009c9c,Morphix,2006.2.12,2012.9,http://www.dreamlinux.info/,,,,,,,,,
Danix,#3b679f,Knoppix,2003.11.5,,http://www.danix.cz/,,,,,,,,,
Shabdix,#f64f67,Knoppix,2003.12.26,2004.9,http://shabdix.berlios.de/,,,,,,,,,
INSERT,#003399,Knoppix,2003.8.1,2007.2.27,http://www.inside-security.de/insert_en.html,,,,,,,,,
KnoppMyth,#92bac4,Knoppix,2003.8.8,2009.1.28,http://mysettopbox.tv/knoppmyth.html,,,,,,,,,
Medialinux,#778888,Knoppix,2003.11,,http://www.linuxfordevices.com/c/a/News/Introducing-MediaLinux-a-new-realtime-Linux-approach/,Mediainlinux,2004.7,http://distrowatch.com/table.php?distribution=artistx,ArtistX,2006.11,www.artistx.org/,,,
Kanotix,#c8b582,Knoppix,2003.12.24,,http://www.kanotix.com/,,,,,,,,,
Auditor Security Linux,#5c7152,Kanotix,2004.5.20,,http://en.wikipedia.org/wiki/Auditor_Security_Collection,Backtrack,2006.5.26,http://www.backtrack-linux.org/,,,,,,
Parsix,#e48535,Kanotix,2005.1.25,,http://www.parsix.org/html/index.php,,,,,,,,,
Feather,#828282,Knoppix,2003.12,2005.7.4,http://featherlinux.berlios.de/,,,,,,,,,
Bioknoppix,#5e4ab0,Knoppix,2004.2.20,2004.8.13,http://bioknoppix.hpcf.upr.edu/,,,,,,,,,
Joatha,#e55522,Knoppix,2004.4,,http://code.google.com/p/joatha/,,,,,,,,,
MAX,#477dbe,Knoppix,2004.5.27,,http://www.educa2.madrid.org/web/max,,,,,,,,,
B2D,#99ccff,Knoppix,2004.6,2010.5.16,http://b2d-linux.com/,,INFO:,http://ftp.at.linuxfromscratch.org/.vhost/distrowatch.com/weekly.php?issue=20041011,,,,,,
Kaella,#be2800,Knoppix,2004.7,,http://www.kaella.org/,,,,,,,,,
Whoppix,#445fff,Knoppix,2004.8,2006.2.5,http://swik.net/WHoppix,WHAX,2005.7.3,http://distrowatch.com/table.php?distribution=whoppix,,,,,,
Symphony OS,#d41316,Knoppix,2005.5.12,,http://symphonyos.com/,,,,,,,,,
ParallelKnoppix,#a0553c,Knoppix,2005.4.25,2008.3.1,http://pareto.uab.es/mcreel/ParallelKnoppix/,,,,,,,,,
Musix,#000064,Knoppix,2005.9.12,,http://www.musix.org.ar/en/index.html,,,,,,,,,
Gibraltar,#f00,Debian,2000.7.31,,http://www.gibraltar.at/,,,,,,,,,
LEAF,#00b4d7,Debian,2000.10.29,,http://leaf.sourceforge.net/,,,,,,,,,
Progeny,#121356,Debian,2001.4.9,2007.4.30,http://en.wikipedia.org/wiki/Progeny_Linux_Systems,,,,,,,,,
Skolelinux,#e0b1b7,Debian,2001.7.2,,http://www.slx.no/,,,,,,,,,
DeMuDi,#be41e3,Debian,2001.7.19,2006,http://wiki.debian.org/DebianMultimedia,,,,,,,,,
64Studio,#ABBEE4,DeMuDi,2005.4,,http://www.64studio.com,,,,,,,,,
Lindows,#3b806e,Debian,2001.8,2008.8.2,http://en.wikipedia.org/wiki/Lindows,Linspire,2004.0.0,http://www.linspire.com/,,,,,,
Freespire,#007197,Lindows,2006.4.24,2008.10.19,http://www.freespire.org/,,,,,,,,,
gnuLiNex,#30632a,Debian,2002.6.9,2011.12.31,http://www.gnulinex.org/,,,,,,,,,
Lihuen,#b3c4ac,gnuLiNex,2005.9.1,,http://lihuen.info.unlp.edu.ar/,,,,,,,,,
Rxart,#666666,Debian,2002.12,,http://www.pixartargentina.com.ar/,,,,,,,,,
BlackRhino,#000,Debian,2003.3.4,2007.5,http://web.archive.org/web/20080228074951/http://blackrhino.xrhino.com/main.php?page=news,,,,,,,,,
miniwoody,#12ad12,Debian,2003.3.15,2004.1.14,http://www.pro-linux.de/news/1/5322/miniwoody-10.html,Bonzai,2003.5.20,http://distrowatch.com/table.php?distribution=bonzai,,,,,,
MEPIS,#8598c0,Debian,2003.5,,https://www.mepis.org/,SimplyMEPIS,2004.9.7,https://www.mepis.org/,,,,,,
antiX,#443300,MEPIS,2007.8.22,,http://antix.mepis.com/,,,,,,,,,
Swift,#00ae01,antiX,2010.11.15,,http://www.swiftlinux.org/,,,,,,,,,
ASLinux,#e3763f,Debian,2003.10.1,,http://www.activasistemas.com/index.php?id=7,,,,,,,,,
Impi,#050505,Debian,2003.11.1,2006.1,http://en.wikipedia.org/wiki/Impi_Linux,,,,,,,,,
Xebian,#dfdfdf,Debian,2003.12.17,2005.6.28,http://web.archive.org/web/20031230131115/http://www.xbox-linux.org/,,,,,,,,,
Bluewall,#4bb8c9,Debian,2004.1.6,2006.2.5,http://distrowatch.com/table.php?distribution=bluewall,,,,,,,,,
Amber,#ff9900,Debian,2004.2,2006.4,http://distrowatch.com/table.php?distribution=amber,,,,,,,,,
K-DEMar,#416db7,Debian,2004.2.14,,http://distrowatch.com/table.php?distribution=kdemar,kademar,2009.6.6,http://www.kademar.org/,,,,,,
Guadalinex,#369036,Debian,2004.2.24,,http://www.guadalinex.org/,,,,,,,,,
Euronode,#ff2222,Debian,2004.3.13,2006.1.10,http://euronode.org/,,INFO:,http://web.archive.org/web/20071001144149/http://euronode.org/,,,,,,
DRBL,#333,Debian,2004.4.1,,http://drbl.org/,,,,,,,,,
DeadCD,#9bb657,Debian,2004.4,2006.6,http://distrowatch.com/table.php?distribution=olive,Olive,2006.5,http://distrowatch.com/table.php?distribution=olive,,,,,,
Clonezilla Live,#f79f5d,Debian,2004.5,,http://clonezilla.org/,,,,,,,,,
Underground Desktop,#cc3344,Debian,2004.6,2006.10.14,http://distrowatch.com/table.php?distribution=underground,,,,,,,,,
grml,#e7c71c,Debian,2004.8.31,,http://grml.org/,,,,,,,,,
UserLinux,#ddbb66,Debian,2004.9,2005.5,http://en.wikipedia.org/wiki/UserLinux,,,,,,,,,
Ubuntu,#675a3b,Debian,2004.10.20,,http://www.ubuntu.com/,,,,,,,,,
Kubuntu,#4f5695,Ubuntu,2005.4.8,,http://www.kubuntu.org/,,,,,,,,,
Bardinux,#832c6a,Kubuntu,2006.7.7,,http://bardinux.ull.es/,,,,,,,,,
Ulteo,#4fb75e,Kubuntu,2006.12.7,,http://www.ulteo.com/,,,,,,,,,
DEFT,#555555,Kubuntu,2007.1,,http://www.deftlinux.net/,,,,,,,,,
Polippix,#66aacc,Kubuntu,2007.3.20,,http://polippix.org/,,,,,,,,,
Asturix,#55cc00,Kubuntu,2009.2.5,,http://asturix.com/,,,,,,,,,
Edubuntu,#a12726,Ubuntu,2005.10.13,,http://edubuntu.org/,,,,,,,,,
Arabian,#225571,Ubuntu,2005.3,2009.7,http://arabian-linux.sourceforge.net/,,,,,,,,,
nUbuntu,#702b2e,Ubuntu,2005.12.18,2010.4.4 ,http://www.nubuntu.org/,,,,,,,,,
Xubuntu,#53525f,Ubuntu,2006.6.1,,http://www.xubuntu.org/,,,,,,,,,
Mystras OS,#DD4B39,Xubuntu,2012.2.8,,http://mystras.cloudfactory.eu/,,,,,,,,,
Xinutop,,Xubuntu,2012.5.2,,http://marinux.pk973.org/,,,,,,,,,
